word,logp
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4375529289245605, 1.6002781391143799, 2.0182600021362305]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3941054344177246, 1.5453563928604126, 1.9496346712112427]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4708908796310425, 1.562361717224121, 2.00119948387146]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.502639651298523, 1.5829004049301147, 1.9920114278793335]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.46122145652771, 1.5986920595169067, 2.0387306213378906]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4026505947113037, 1.5110902786254883, 1.9750497341156006]"
"['<sos>', 'sound', 'sound', 'sound', '<eos>']","[0.0, 1.5021064281463623, 1.7434805631637573, 1.808613657951355, 1.9192770719528198]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4328840970993042, 1.6326818466186523, 1.931809663772583]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4274555444717407, 1.542256474494934, 1.895277738571167]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5350347757339478, 1.5704127550125122, 1.9752812385559082]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.4238544702529907, 1.5924360752105713, 1.8756625652313232]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4975578784942627, 1.556588888168335, 1.9630608558654785]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.3860907554626465, 1.572174072265625, 1.7492115497589111]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.376357078552246, 1.573257565498352, 1.942606806755066]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.448486328125, 1.601837158203125, 1.9952517747879028]"
"['<sos>', 'price', 'camera', '<eos>']","[0.0, 1.4531556367874146, 1.573309063911438, 1.868951439857483]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5122841596603394, 1.5906518697738647, 1.881408452987671]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5507944822311401, 1.6020729541778564, 1.917853832244873]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5354799032211304, 1.5821336507797241, 1.9428582191467285]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.5396004915237427, 1.5734702348709106, 2.0184826850891113]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4519968032836914, 1.5657497644424438, 1.9909217357635498]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.44743812084198, 1.6017924547195435, 1.796636939048767]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5131853818893433, 1.649575114250183, 1.9984921216964722]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5885471105575562, 1.6283153295516968, 1.9673943519592285]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3428988456726074, 1.5605409145355225, 1.9762389659881592]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.509729266166687, 1.5938665866851807, 1.939129114151001]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.421284556388855, 1.551061987876892, 1.9387272596359253]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.652730107307434, 1.6738576889038086, 1.864758849143982]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3385449647903442, 1.4958778619766235, 1.8283807039260864]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.529578685760498, 1.6130751371383667, 1.9444748163223267]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.2125532627105713, 1.525109052658081, 1.8903297185897827]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5675517320632935, 1.6125737428665161, 1.9479190111160278]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.5112000703811646, 1.5635466575622559, 1.999955177307129]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.6355609893798828, 1.6315785646438599, 2.0068042278289795]"
